Ticker / Index,Name,Date,Value,Change,ISIN
OMXBBGI,OMX_Baltic_Benchmark_GI,08.06.2005,538;9,-0;15,
OMXBBGI,OMX_Baltic_Benchmark_GI,09.06.2005,538;7,-0;19,
OMXBBGI,OMX_Baltic_Benchmark_GI,10.06.2005,538;06,-0;3,
OMXBBGI,OMX_Baltic_Benchmark_GI,13.06.2005,537;59,-0;39,
OMXBBGI,OMX_Baltic_Benchmark_GI,14.06.2005,537;07,-0;49,
OMXBBGI,OMX_Baltic_Benchmark_GI,15.06.2005,535;47,-0;78,
OMXBBGI,OMX_Baltic_Benchmark_GI,16.06.2005,535;22,-0;83,
OMXBBGI,OMX_Baltic_Benchmark_GI,17.06.2005,535;87,-0;71,
OMXBBGI,OMX_Baltic_Benchmark_GI,20.06.2005,536;08,-0;67,
OMXBBGI,OMX_Baltic_Benchmark_GI,21.06.2005,536;5,-0;59,
OMXBBGI,OMX_Baltic_Benchmark_GI,22.06.2005,536;4,-0;61,
OMXBBGI,OMX_Baltic_Benchmark_GI,23.06.2005,536;21,-0;65,
OMXBBGI,OMX_Baltic_Benchmark_GI,27.06.2005,536;98,-0;5,
OMXBBGI,OMX_Baltic_Benchmark_GI,28.06.2005,536;9,-0;52,
OMXBBGI,OMX_Baltic_Benchmark_GI,29.06.2005,536;95,-0;51,
OMXBBGI,OMX_Baltic_Benchmark_GI,30.06.2005,536;26,-0;64,
OMXBBGI,OMX_Baltic_Benchmark_GI,01.07.2005,536;26,-0;64,
OMXBBGI,OMX_Baltic_Benchmark_GI,04.07.2005,535;7,-0;74,
OMXBBGI,OMX_Baltic_Benchmark_GI,05.07.2005,535;52,-0;77,
OMXBBGI,OMX_Baltic_Benchmark_GI,06.07.2005,536;36,-0;62,
OMXBBGI,OMX_Baltic_Benchmark_GI,07.07.2005,535;09,-0;85,
OMXBBGI,OMX_Baltic_Benchmark_GI,08.07.2005,535;72,-0;74,
OMXBBGI,OMX_Baltic_Benchmark_GI,11.07.2005,533;45,-1;16,
OMXBBGI,OMX_Baltic_Benchmark_GI,12.07.2005,535;99,-0;69,
OMXBBGI,OMX_Baltic_Benchmark_GI,13.07.2005,535;62,-0;76,
OMXBBGI,OMX_Baltic_Benchmark_GI,14.07.2005,535;44,-0;79,
OMXBBGI,OMX_Baltic_Benchmark_GI,15.07.2005,534;27,-1;01,
OMXBBGI,OMX_Baltic_Benchmark_GI,18.07.2005,529;99,-1;8,
OMXBBGI,OMX_Baltic_Benchmark_GI,19.07.2005,534;38,-0;99,
OMXBBGI,OMX_Baltic_Benchmark_GI,20.07.2005,538;95,-0;14,
OMXBBGI,OMX_Baltic_Benchmark_GI,21.07.2005,540;12,0;08,
OMXBBGI,OMX_Baltic_Benchmark_GI,22.07.2005,540;25,0;1,
OMXBBGI,OMX_Baltic_Benchmark_GI,25.07.2005,541;77,0;38,
OMXBBGI,OMX_Baltic_Benchmark_GI,26.07.2005,542;45,0;51,
OMXBBGI,OMX_Baltic_Benchmark_GI,27.07.2005,543;47,0;7,
OMXBBGI,OMX_Baltic_Benchmark_GI,28.07.2005,545;86,1;14,
OMXBBGI,OMX_Baltic_Benchmark_GI,29.07.2005,546;55,1;27,
OMXBBGI,OMX_Baltic_Benchmark_GI,01.08.2005,547;1,1;37,
OMXBBGI,OMX_Baltic_Benchmark_GI,02.08.2005,549;06,1;73,
OMXBBGI,OMX_Baltic_Benchmark_GI,03.08.2005,550;71,2;04,
OMXBBGI,OMX_Baltic_Benchmark_GI,04.08.2005,547;1,1;37,
OMXBBGI,OMX_Baltic_Benchmark_GI,05.08.2005,549;01,1;73,
OMXBBGI,OMX_Baltic_Benchmark_GI,08.08.2005,550;62,2;02,
OMXBBGI,OMX_Baltic_Benchmark_GI,09.08.2005,551;83,2;25,
OMXBBGI,OMX_Baltic_Benchmark_GI,10.08.2005,551;98,2;28,
OMXBBGI,OMX_Baltic_Benchmark_GI,11.08.2005,552;03,2;28,
OMXBBGI,OMX_Baltic_Benchmark_GI,12.08.2005,554;92,2;82,
OMXBBGI,OMX_Baltic_Benchmark_GI,15.08.2005,554;08,2;66,
